Rank,Overall,Male,Female,Continent
1,89.5,85.6,93.5,Europe
2,85,81.7,88.5,Asia
3,85,82.3,87.8,Asia
4,84.5,81.6,87.6,Asia
5,83.3,80.7,86.1,Europe
6,83,80.9,85.3,Europe
7,82.9,80.3,85.8,Asia
8,82.8,80.6,85.1,Europe
9,82.6,80.3,85,Europe
10,82.5,79.9,85.4,Europe
11,82.4,80.6,84.4,Asia
12,82.4,79.3,85.8,Asia
13,82.3,79.8,84.9,Europe
14,82.2,79.8,84.8,Oceania
15,82.2,79.6,85,Europe
16,82.1,80.2,84.1,Europe
17,81.9,79.2,84.6,North America
18,81.9,79.4,84.5,Europe
19,81.9,79.7,84.6,Europe
20,81.8,78.7,85.1,Europe
21,81.8,79.8,83.9,Europe
22,81.7,78.7,84.9,Europe
23,81.5,78.9,84.3,Europe
24,81.4,78.8,84.1,North America
25,81.3,78.1,84.5,North America
26,81.3,79.2,83.6,Europe
27,81.2,78.5,84,North America
28,81.2,79.5,83,Europe
29,81.2,79.1,83.3,Oceania
30,81,78.4,83.7,Europe
31,80.9,77.9,84,Europe
32,80.8,78.5,83.2,Europe
33,80.7,78.4,83.1,Europe
34,80.7,78.5,83,Europe
35,80.5,77.9,83.3,Europe
36,80.5,78.2,83,North America
37,80.4,77.8,83.1,Europe
38,80.4,78,82.8,Europe
39,80.2,77.4,83.2,Europe
40,80.1,77,83.5,Asia
41,80,77,83.2,North America
42,79.8,77.1,82.7,North America
43,79.8,77.5,82.1,North America
44,79.7,76.7,82.8,Oceania
45,79.5,76.6,82.6,Africa
46,79.4,77,82,Europe
47,79.4,76.6,82.5,Europe
48,79.4,75.8,83.1,North America
49,79.3,76.1,82.8,Europe
50,78.9,76.7,81.1,Asia
51,78.8,75.7,81.9,South America
52,78.7,76.4,81.1,North America
53,78.7,75.8,81.6,Europe
54,78.7,76.7,80.8,Asia
55,78.6,77.2,80.1,North America
56,78.6,75.9,81.4,North America
57,78.6,75.7,81.8,Europe
58,78.6,75.8,81.6,North America
59,78.3,75.7,81.2,Europe
60,78.2,74.6,82,Europe
61,78.1,75.9,80.5,North America
62,78.1,75.8,80.6,North America
63,78,76.6,79.4,Asia
64,78,75.3,80.8,Oceania
65,77.9,75.6,79.6,South America
66,77.8,75,80.7,North America
67,77.7,73.7,81.9,Oceania
68,77.6,76.3,78.9,Asia
69,77.6,73.7,81.7,Europe
70,77.5,74.8,80.2,Asia
71,77.2,74.8,79.6,Asia
72,77.2,74.9,79.6,Oceania
73,77.2,74.5,80,South America
74,77.2,74.1,80.5,South America
75,77.1,74,80.4,South America
76,77.1,73.5,80.9,Europe
77,77,74,80.1,North America
78,76.9,73.8,80.1,Africa
79,76.8,75.5,78.2,Africa
80,76.8,73.7,79.9,South America
81,76.8,73.8,79.9,South America
82,76.8,73.3,80.4,Asia
83,76.7,73.7,80,Europe
84,76.7,71.9,81.7,Europe
85,76.5,74.4,78.8,North America
86,76.5,74.7,78.3,Africa
87,76.2,72.1,80.6,Asia
88,76.2,73.6,79,Europe
89,76.2,74.7,77.8,Oceania
90,76.1,74,78.4,Africa
91,75.9,72.7,79.2,Europe
92,75.9,72.2,79.8,Europe
93,75.9,73.1,78.8,North America
94,75.8,73,78.8,Oceania
95,75.8,72.7,78.9,South America
96,75.7,72.6,79,South America
97,75.7,73.3,78.2,North America
98,75.6,73.3,78,Asia
99,75.6,72.2,79.2,Africa
100,75.5,73.5,77.5,Asia
